# IDA Pro 9.1 recovered symbol names for SLPS_017.62 (503 functions)
# Format: 0xADDRESS name  -- merge into config/pepsiman_symbols.txt as needed
0x8001316C main
0x8005068C CdDataCallback
0x800506B0 CdDataSync
0x800506D0 CdIntToPos
0x800507D4 CdPosToInt
0x80050DB0 CD_sync
0x80051030 CD_ready
0x800512F8 CD_cw
0x80051704 CD_vol
0x8005178C CD_flush
0x80051860 CD_initvol
0x80051950 CD_initintr
0x8005199C CD_init
0x80051B7C CD_datasync
0x80051CE4 CD_getsector
0x80051DE4 CD_getsector2
0x80051FB4 CdSearchFile
0x800532F4 CdRead2
0x800533A4 StClearRing
0x80053404 StUnSetRing
0x80053484 data_ready_callback
0x80053510 StGetBackloc
0x80053574 StSetStream
0x80053604 StFreeRing
0x800536B4 init_ring_status
0x800536F4 StGetNext
0x800537B4 StSetMask
0x800537D4 StCdInterrupt
0x800542C4 rsin
0x80054300 sin_1
0x80054394 rcos
0x80054434 SetFogNearFar
0x80054544 SquareRoot0
0x80054674 VectorNormal
0x80054884 TransMatrix
0x800548B4 ScaleMatrix
0x800549F4 SetRotMatrix
0x80054A24 SetTransMatrix
0x80054B3C SetDQA
0x80054B48 SetDQB
0x80054B54 SetFarColor
0x80054D10 OuterProduct0
0x80054D68 Lzc
0x80054D84 RotTransPers
0x80054DB4 RotTrans
0x80054DE4 RotMatrix
0x80055074 RotMatrixYXZ
0x80055304 RotMatrixX
0x800554A4 RotMatrixZ
0x80055F44 ZClipF
0x800560B4 LoadAverageShort12
0x800562A4 ratan2
0x80056424 GsSortLine
0x80056504 _make_packet
0x800565A4 GsSortPoly
0x80056774 GsInitGraph
0x80056904 GsInitGraph2
0x80056B8C GsSortClear
0x80056CC4 GsGetActiveBuff
0x80056CD4 GsSetDrawBuffOffset
0x80056DE4 SetGeomOffset
0x80056E04 GsSetDrawBuffClip
0x80056E84 GsSwapDispBuff
0x80056F34 GsInitCoordinate2
0x80056FD0 GsSetLsMatrix
0x80056FFC GsSetLightMatrix
0x80057090 GsSetLightMatrix2
0x800570C0 GsMulCoord0
0x80057150 GsMulCoord2
0x800571D0 GsMulCoord3
0x80057250 print_matrix
0x800572C0 print_vector
0x800572F4 MulMatrix0
0x80057404 ApplyMatrixLV
0x80057564 PushMatrix
0x80057608 PopMatrix
0x800576B4 MulMatrix
0x800577C4 MulMatrix2
0x800578D4 SetLightMatrix
0x80057904 GsDefDispBuff
0x800579A4 GsInit3D
0x80057A24 GsMapModelingData
0x80057A94 GsSetProjection
0x80057AB4 SetGeomScreen
0x80057AC4 GsSetFlatLight
0x80058034 SetColorMatrix
0x80058064 GsSetLightMode
0x800580E4 GsSetFogParam
0x80058134 GsSetAmbient
0x80058164 SetBackColor
0x80058184 GsDrawOt
0x800581B4 GsClearOt
0x80058214 GsSortOt
0x800582D4 gte_init
0x800583B4 _ExitCard
0x80058494 GsGetTimInfo
0x80058584 Gssub_make_matrix
0x80058664 GsSetRefView2
0x80058C04 TransposeMatrix
0x80058C44 gte_rotate_z_matrix
0x80058D04 GsGetLw
0x80058FC4 GsGetLw_0
0x80059294 GsGetLws
0x800595B4 GsSetRefView2L
0x80059BC4 csqrt_1
0x80059D18 csqrt
0x80059DB4 GsLinkObject4
0x80059F44 GsSortObject4J
0x8005A7D4 GsTMDfastNF3
