# Crimson Skies - IDA FLIRT-identified names (347 functions, VC6/MFC42/std/ATL)
# Format: 0xADDRESS name  -- adopt the non-CRT ones into functions.json
# Regenerate: tools/crimson_gap.py, then export the ida_name column of
#             crimson_ida_names.csv (see handoffs/crimsonskies.md).
0x005F69DC ?OnChildNotify@CComboBox@@MAEHIIJPAJ@Z
0x005F69E2 ?PreTranslateMessage@CWnd@@UAEHPAUtagMSG@@@Z
0x005F69E8 ?GetMessageMap@CWnd@@MBEPBUAFX_MSGMAP@@XZ
0x005F69EE ?OnCmdMsg@CCmdTarget@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z
0x005F69F4 ?GetRuntimeClass@CComboBox@@UBEPAUCRuntimeClass@@XZ
0x005F69FA ?PreInitDialog@CDialog@@MAEXXZ
0x005F6A00 ?OnCancel@CDialog@@MAEXXZ
0x005F6A06 ?OnOK@CDialog@@MAEXXZ
0x005F6A0C ?OnSetFont@CDialog@@UAEXPAVCFont@@@Z
0x005F6A12 ?OnInitDialog@CDialog@@UAEHXZ
0x005F6A18 ?SetOccDialogInfo@CDialog@@MAEHPAU_AFX_OCC_DIALOG_INFO@@@Z
0x005F6A1E ?IsFrameWnd@CWnd@@UBEHXZ
0x005F6A24 ?CheckAutoCenter@CDialog@@UAEHXZ
0x005F6A2A ?OnChildNotify@CWnd@@MAEHIIJPAJ@Z
0x005F6A30 ?PostNcDestroy@CWnd@@MAEXXZ
0x005F6A36 ?DefWindowProcA@CWnd@@MAEJIIJ@Z
0x005F6A3C ?OnWndMsg@CWnd@@MAEHIIJPAJ@Z
0x005F6A42 ?WindowProc@CWnd@@MAEJIIJ@Z
0x005F6A48 ?OnAmbientProperty@CWnd@@UAEHPAVCOleControlSite@@JPAUtagVARIANT@@@Z
0x005F6A4E ?PreTranslateMessage@CDialog@@UAEHPAUtagMSG@@@Z
0x005F6A54 ?GetSuperWndProcAddr@CWnd@@MAEPAP6GJPAUHWND__@@IIJ@ZXZ
0x005F6A5A ?OnNotify@CWnd@@MAEHIJPAJ@Z
0x005F6A60 ?OnCommand@CWnd@@MAEHIJ@Z
0x005F6A66 ?EndModalLoop@CWnd@@UAEXH@Z
0x005F6A6C ?ContinueModal@CWnd@@UAEHXZ
0x005F6A72 ?WinHelpA@CWnd@@UAEXKI@Z
0x005F6A78 ?GetScrollBarCtrl@CWnd@@UBEPAVCScrollBar@@H@Z
0x005F6A7E ?OnToolHitTest@CWnd@@UBEHVCPoint@@PAUtagTOOLINFOA@@@Z
0x005F6A84 ?CalcWindowRect@CWnd@@UAEXPAUtagRECT@@I@Z
0x005F6A8A ?PreCreateWindow@CWnd@@UAEHAAUtagCREATESTRUCTA@@@Z
0x005F6A90 ?DestroyWindow@CWnd@@UAEHXZ
0x005F6A96 ?Create@CWnd@@UAEHPBD0KABUtagRECT@@PAV1@IPAUCCreateContext@@@Z
0x005F6A9C ?PreSubclassWindow@CWnd@@UAEXXZ
0x005F6AA2 ?GetConnectionHook@CCmdTarget@@MAEPAUIConnectionPoint@@ABU_GUID@@@Z
0x005F6AA8 ?GetExtraConnectionPoints@CCmdTarget@@MAEHPAVCPtrArray@@@Z
